,PPG
1562,30512
1563,30504
1564,30512
1565,30544
1566,30552
1567,30568
1568,30560
1569,30616
1570,30592
1571,30576
1572,30584
1573,30592
1574,30632
1575,30632
1576,30616
1577,30592
1578,30520
1579,30416
1580,30344
1581,30232
1582,30160
1583,30128
1584,30088
1585,30056
1586,30048
1587,30040
1588,30072
1589,30072
1590,30136
1591,30184
1592,30200
1593,30224
1594,30232
1595,30232
1596,30248
1597,30288
1598,30288
1599,30296
1600,30296
1601,30296
1602,30296
1603,30304
1604,30296
1605,30280
1606,30272
1607,30248
1608,30240
1609,30208
1610,30216
1611,30224
1612,30200
1613,30248
1614,30240
1615,30232
1616,30232
1617,30256
1618,30264
1619,30296
1620,30320
1621,30312
1622,30320
1623,30328
1624,30336
1625,30352
1626,30384
1627,30368
1628,30384
1629,30400
1630,30408
1631,30408
1632,30432
1633,30408
1634,30424
1635,30400
1636,30416
1637,30432
1638,30448
1639,30456
1640,30448
1641,30416
1642,30432
1643,30424
1644,30424
1645,30432
1646,30440
1647,30448
1648,30440
1649,30464
1650,30464
1651,30472
1652,30488
1653,30472
1654,30472
1655,30472
1656,30488
1657,30536
1658,30488
1659,30520
1660,30520
1661,30504
1662,30528
1663,30544
1664,30600
1665,30592
1666,30568
1667,30600
1668,30584
1669,30624
1670,30632
1671,30616
1672,30560
1673,30496
1674,30424
1675,30312
1676,30192
1677,30152
1678,30128
1679,30088
1680,30056
1681,30096
1682,30088
1683,30104
1684,30144
1685,30128
1686,30144
1687,30184
1688,30280
1689,30296
1690,30312
1691,30344
1692,30344
1693,30344
1694,30352
1695,30376
1696,30384
1697,30392
1698,30368
1699,30352
1700,30336
1701,30312
1702,30312
1703,30296
1704,30264
1705,30264
1706,30280
1707,30272
1708,30272
1709,30256
1710,30304
1711,30304
1712,30304
1713,30328
1714,30336
1715,30352
1716,30360
1717,30384
1718,30400
1719,30408
1720,30416
1721,30448
1722,30440
1723,30456
1724,30448
1725,30424
1726,30456
1727,30456
1728,30464
1729,30488
1730,30504
1731,30496
1732,30488
1733,30472
1734,30456
1735,30472
1736,30480
1737,30480
1738,30504
1739,30488
1740,30488
1741,30488
1742,30504
1743,30512
1744,30504
1745,30520
1746,30512
1747,30488
1748,30528
1749,30552
1750,30544
1751,30544
1752,30568
1753,30568
1754,30600
1755,30616
1756,30616
1757,30656
1758,30640
1759,30648
1760,30656
1761,30608
1762,30536
1763,30448
1764,30368
1765,30248
1766,30160
1767,30112
1768,30112
1769,30064
1770,30096
1771,30080
1772,30064
1773,30096
1774,30160
1775,30160
1776,30200
1777,30240
1778,30248
1779,30272
1780,30272
1781,30280
1782,30296
1783,30312
1784,30336
1785,30328
1786,30368
1787,30384
1788,30344
1789,30336
1790,30304
1791,30288
1792,30288
1793,30280
1794,30288
1795,30280
1796,30272
1797,30280
1798,30272
1799,30280
1800,30312
1801,30296
1802,30288
1803,30328
1804,30376
1805,30368
1806,30360
1807,30360
1808,30392
1809,30424
1810,30416
1811,30440
1812,30448
1813,30432
1814,30440
1815,30464
1816,30456
1817,30456
1818,30488
1819,30488
1820,30504
1821,30480
1822,30472
1823,30480
1824,30480
1825,30504
1826,30488
1827,30480
1828,30488
1829,30496
1830,30512
1831,30480
1832,30488
1833,30488
1834,30512
1835,30488
1836,30504
1837,30512
1838,30536
1839,30528
1840,30520
1841,30568
1842,30568
1843,30560
1844,30584
1845,30624
1846,30608
1847,30608
1848,30616
1849,30656
1850,30632
1851,30608
1852,30528
1853,30448
1854,30352
1855,30232
1856,30160
1857,30120
1858,30040
1859,30056
1860,30056
1861,30072
1862,30048
1863,30080
1864,30080
1865,30120
1866,30152
1867,30144
1868,30216
1869,30248
1870,30232
1871,30248
1872,30248
1873,30264
1874,30280
1875,30312
1876,30304
1877,30304
1878,30296
1879,30320
1880,30328
1881,30304
1882,30256
1883,30240
1884,30232
1885,30224
1886,30248
1887,30232
1888,30200
1889,30248
1890,30248
1891,30248
1892,30296
1893,30288
1894,30288
1895,30336
1896,30312
1897,30368
1898,30360
1899,30384
1900,30416
1901,30400
1902,30408
1903,30432
1904,30400
1905,30408
1906,30440
1907,30432
1908,30464
1909,30440
1910,30416
1911,30432
1912,30448
1913,30432
1914,30432
1915,30488
1916,30456
1917,30464
1918,30456
1919,30448
1920,30432
1921,30472
1922,30440
1923,30440
1924,30464
1925,30488
1926,30480
1927,30496
1928,30488
1929,30528
1930,30536
1931,30520
1932,30536
1933,30544
1934,30544
1935,30544
1936,30608
1937,30600
1938,30600
1939,30632
1940,30632
1941,30608
1942,30552
1943,30488
1944,30368
1945,30224
1946,30192
1947,30120
1948,30080
1949,30072
1950,30040
1951,30016
1952,30056
1953,30064
1954,30112
1955,30104
1956,30144
1957,30176
1958,30216
1959,30216
1960,30240
1961,30232
1962,30264
1963,30296
1964,30304
1965,30344
1966,30344
1967,30312
1968,30336
1969,30312
1970,30304
1971,30304
1972,30272
1973,30256
1974,30256
1975,30208
1976,30208
1977,30208
1978,30208
1979,30240
1980,30224
1981,30232
1982,30248
1983,30280
1984,30288
1985,30336
1986,30336
1987,30360
1988,30352
1989,30368
1990,30408
1991,30408
1992,30400
1993,30424
1994,30416
1995,30400
1996,30432
1997,30448
1998,30432
1999,30408
2000,30432
2001,30448
2002,30448
2003,30400
2004,30424
2005,30456
2006,30416
2007,30448
2008,30432
2009,30432
2010,30432
2011,30472
2012,30448
2013,30480
2014,30472
2015,30464
2016,30496
2017,30480
2018,30496
2019,30496
2020,30512
2021,30544
2022,30552
2023,30560
2024,30560
2025,30560
2026,30552
2027,30536
2028,30440
2029,30384
2030,30264
2031,30184
2032,30112
2033,30064
2034,30048
2035,30024
2036,30040
2037,30056
2038,30072
2039,30048
2040,30080
2041,30128
2042,30136
2043,30160
2044,30200
2045,30224
2046,30240
2047,30256
2048,30288
2049,30320
2050,30304
2051,30360
2052,30328
2053,30344
2054,30344
2055,30336
2056,30304
2057,30264
2058,30240
2059,30216
2060,30200
2061,30216
2062,30200
2063,30192
2064,30240
2065,30184
2066,30216
2067,30224
2068,30264
2069,30256
2070,30280
2071,30312
2072,30328
2073,30320
2074,30368
2075,30368
2076,30384
2077,30376
2078,30384
2079,30416
2080,30400
2081,30440
2082,30408
2083,30440
2084,30432
2085,30464
2086,30480
2087,30448
2088,30416
2089,30448
2090,30456
2091,30448
2092,30432
2093,30448
2094,30472
2095,30456
2096,30464
2097,30472
2098,30472
2099,30448
2100,30472
2101,30464
2102,30480
2103,30488
2104,30512
2105,30520
2106,30536
2107,30544
2108,30536
2109,30576
2110,30568
2111,30592
2112,30616
2113,30608
2114,30592
2115,30552
2116,30456
2117,30400
2118,30288
2119,30168
2120,30088
2121,30040
2122,30008
2123,30016
2124,29968
2125,29960
2126,29992
2127,29992
2128,30032
2129,30072
2130,30064
2131,30096
2132,30112
2133,30144
2134,30192
2135,30160
2136,30144
2137,30168
2138,30200
2139,30232
2140,30208
2141,30216
2142,30248
2143,30224
2144,30192
2145,30200
2146,30184
2147,30176
2148,30160
2149,30152
2150,30144
2151,30136
2152,30128
2153,30144
2154,30112
2155,30160
2156,30168
2157,30152
2158,30200
2159,30200
2160,30240
2161,30216
2162,30256
2163,30272
2164,30288
2165,30296
2166,30296
2167,30296
2168,30328
2169,30304
2170,30320
2171,30360
2172,30360
2173,30320
2174,30336
2175,30352
2176,30352
2177,30360
2178,30360
2179,30368
2180,30392
2181,30360
2182,30400
2183,30368
2184,30400
2185,30392
2186,30408
2187,30408
2188,30400
2189,30424
2190,30400
2191,30424
2192,30400
2193,30448
2194,30432
2195,30440
2196,30456
2197,30480
2198,30472
2199,30488
2200,30496
2201,30496
2202,30512
2203,30520
2204,30520
2205,30544
2206,30560
2207,30528
2208,30464
2209,30400
2210,30248
2211,30136
2212,30080
2213,30024
2214,29984
2215,29952
2216,29952
2217,29912
2218,29968
2219,29968
2220,30000
2221,30016
2222,30024
2223,30072
2224,30096
2225,30088
2226,30104
2227,30120
2228,30152
2229,30144
2230,30176
2231,30192
2232,30184
2233,30200
2234,30192
2235,30184
2236,30168
2237,30160
2238,30152
2239,30096
2240,30104
2241,30080
2242,30088
2243,30064
2244,30080
2245,30104
2246,30136
2247,30088
2248,30120
2249,30136
2250,30160
2251,30168
2252,30176
2253,30184
2254,30216
2255,30232
2256,30224
2257,30240
2258,30264
2259,30272
2260,30288
2261,30272
2262,30304
2263,30288
2264,30296
2265,30288
2266,30320
2267,30320
2268,30304
2269,30344
2270,30304
2271,30304
2272,30320
2273,30320
2274,30288
2275,30320
2276,30344
2277,30352
2278,30336
2279,30352
2280,30336
2281,30360
2282,30384
2283,30352
2284,30400
2285,30400
2286,30384
2287,30392
2288,30408
2289,30400
2290,30416
2291,30432
2292,30424
2293,30448
2294,30480
2295,30472
2296,30488
2297,30480
2298,30512
2299,30504
2300,30504
2301,30504
2302,30528
2303,30536
2304,30488
2305,30376
2306,30272
2307,30176
2308,30112
2309,30024
2310,30000
2311,29992
2312,29952
2313,29960
2314,29968
2315,29992
2316,30032
2317,30040
2318,30056
2319,30088
2320,30144
2321,30176
2322,30160
2323,30176
2324,30184
2325,30224
2326,30232
2327,30280
2328,30256
2329,30272
2330,30280
2331,30232
2332,30240
2333,30192
2334,30192
2335,30136
2336,30152
2337,30136
2338,30128
2339,30128
2340,30112
2341,30136
2342,30120
2343,30152
2344,30136
2345,30168
2346,30200
2347,30208
2348,30240
2349,30248
2350,30256
2351,30280
2352,30272
2353,30312
2354,30296
2355,30312
2356,30336
2357,30352
2358,30344
2359,30328
2360,30336
2361,30360
2362,30360
2363,30368
2364,30336
2365,30368
2366,30352
2367,30400
2368,30384
2369,30368
2370,30400
2371,30360
2372,30360
2373,30360
2374,30416
2375,30408
2376,30392
2377,30408
2378,30408
2379,30392
2380,30424
2381,30448
2382,30472
2383,30448
2384,30488
2385,30464
2386,30480
2387,30504
2388,30528
2389,30512
2390,30536
2391,30528
2392,30544
2393,30520
2394,30528
2395,30464
2396,30384
2397,30248
2398,30144
2399,30064
2400,30000
2401,29976
2402,29960
2403,29920
2404,29936
2405,29976
2406,29960
2407,29984
2408,30016
2409,30048
2410,30056
2411,30072
2412,30088
2413,30152
2414,30112
2415,30152
2416,30136
2417,30200
2418,30184
2419,30208
2420,30200
2421,30216
2422,30208
2423,30192
2424,30168
2425,30152
2426,30144
2427,30120
2428,30104
2429,30120
2430,30080
2431,30128
2432,30128
2433,30112
2434,30112
2435,30144
2436,30144
2437,30136
2438,30184
2439,30200
2440,30216
2441,30240
2442,30256
2443,30256
2444,30256
2445,30280
2446,30264
2447,30280
2448,30304
2449,30320
2450,30328
2451,30344
2452,30344
2453,30328
2454,30336
2455,30336
2456,30360
2457,30344
2458,30352
2459,30344
2460,30344
2461,30352
2462,30352
2463,30376
2464,30344
2465,30392
2466,30344
2467,30376
2468,30384
2469,30392
2470,30424
2471,30416
2472,30416
2473,30416
2474,30448
2475,30432
2476,30464
2477,30456
2478,30464
2479,30480
2480,30504
2481,30536
2482,30536
2483,30544
2484,30544
2485,30520
2486,30504
2487,30384
2488,30312
2489,30160
2490,30056
